,Company_Name,Past_Rating,Present_Rating,Future_Rating,Overall_Rating,PastContribution,PresentContribution,FutureContribution,CIR,reduced_scope12_calc,5yr_Change,Transition_Invest,total_induced,induced_scope12,total_induced_n-5,induced_scope12_n-5,GICS4,marketCap_bin_no,marketCap_class,HQ_Region,HQ_SubRegion_ord,vol_bin_no,vol_class,gas_bin_no,gas_class
52,No_53,2,14,14,10.4,0.6,5.6000000000000005,4.2,0.0,0.0,-0.17391998637134298,,925846.8676764773,408475.0,1052885.6502774684,426576.0,Oil & Gas Storage & Transportation,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Europe,g5: Western Europe,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,1,g1: 0%<gas in the mix<33%
53,No_54,1,14,15,10.400000000000002,0.3,5.6000000000000005,4.5,0.0,0.0,-0.9740244695032793,,5579.1305348308215,0.10940332813367568,214784.08441110217,0.11953309743071723,Oil & Gas Storage & Transportation,0,g0: Company not quoted,Europe,g5: Southern Europe,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,0,g0: No gas
54,No_55,1,14,15,10.400000000000002,0.3,5.6000000000000005,4.5,0.0,0.0,-0.9080237958461316,,124452.59239251114,101355.72632023114,1353095.5483258746,216238.54090473504,Oil & Gas Storage & Transportation,1,"g1: 0 MEUR < market cap < 1,000 MEUR",Americas,g4: Northern America,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,0,g0: No gas
55,No_56,9,9,14,10.5,2.6999999999999997,3.6,4.2,0.0,0.0,0.12929267666092858,,42477476.54038901,4226435.733819508,38772515.92110515,4510000.0,Oil & Gas Exploration & Production,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Americas,g4: Northern America,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,2,g1: 33%<=gas in the mix<67%
56,No_57,15,9,8,10.5,4.5,3.6,2.4,0.0,0.0,,,26343446.798353642,1110796.0,0.0,0.0,Oil & Gas Exploration & Production,0,g0: Company not quoted,Europe,g5: Northern Europe,1,g1: 5 Mtoe <= Volume managed < 10 Mtoe,2,g1: 33%<=gas in the mix<67%
57,No_58,9,11,12,10.7,2.6999999999999997,4.4,3.5999999999999996,,0.0,0.17356198652113108,0.0022907175036269694,130893751.85404053,8783000.0,117181181.79670998,13128189.913906302,Oil & Gas Exploration & Production,0,g0: Company not quoted,Asia,g2: Eastern Asia,3,g3: Volume managed >= 27 Mtoe,1,g1: 0%<gas in the mix<33%
58,No_59,9,14,8,10.7,2.6999999999999997,5.6000000000000005,2.4,0.0313711496217625,-3326204.234689554,0.21947503239701804,,106027489.42238735,21990000.0,88176170.16350031,20535000.0,Oil & Gas Exploration & Production,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,0,g0: No gas
59,No_60,10,11,11,10.7,3.0,4.4,3.3,0.005203864919084235,-3654961.8320610616,0.3013778904716027,,729137416.537225,100000000.0,557794618.9014162,107000000.0,Integrated Oil & Gas,4,"g4: Market cap >= 100,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,1,g1: 0%<gas in the mix<33%
60,No_61,9,12,11,10.8,2.6999999999999997,4.800000000000001,3.3,0.06003124899300516,-28749992.882932883,0.13188030748548663,0.0,449316436.2535388,54794863.806625865,423116399.25121814,79983759.58495979,Oil & Gas Exploration & Production,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Latin America,3,g3: Volume managed >= 27 Mtoe,1,g1: 0%<gas in the mix<33%
61,No_62,6,15,10,10.8,1.7999999999999998,6.0,3.0,,0.0,-0.033616025213266454,,19664604.88728568,150992.0,25872223.6289905,7334075.345395358,Oil & Gas Refining & Marketing,0,g0: Company not quoted,Asia,g2: Southeastern Asia,1,g1: 5 Mtoe <= Volume managed < 10 Mtoe,0,g0: No gas
62,No_63,8,13,11,10.9,2.4,5.2,3.3,0.0,0.0,0.05528861047524525,0.5150864789799268,207047757.32447052,38300000.0,190982179.01219943,34500000.0,Oil & Gas Refining & Marketing,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,0,g0: No gas
